product_id,name,category,brand,description,eco_attributes,eco_score,price,rating,stock
PROD_0001,Organic Wool Tee,Clothing,EcoBrand,"Organic Wool Tee from EcoBrand. Category: Clothing. Features: Energy Efficient, Sustainable, Biodegradable. Additional benefits: Recycled.","Energy Efficient, Sustainable, Biodegradable, Recycled",44.48,29.65,4.6,75
PROD_0002,Recycled Guide,Books,EcoBrand,"Recycled Guide from EcoBrand. Category: Books. Features: Recycled, Energy Efficient.","Recycled, Energy Efficient",15.44,42.74,3.7,91
PROD_0003,Sustainable Living,Books,EarthFriendly,"Sustainable Living from EarthFriendly. Category: Books. Features: Water Efficient, Fair Trade, Organic. Additional benefits: Biodegradable, Carbon Neutral.","Water Efficient, Fair Trade, Organic, Biodegradable, Carbon Neutral",52.9,61.19,3.5,27
PROD_0004,Sustainable Yoga Mat,Sports & Outdoors,GreenLife,"Sustainable Yoga Mat from GreenLife. Category: Sports & Outdoors. Features: Carbon Neutral, Recycled.","Carbon Neutral, Recycled",23.1,21.76,3.8,5
PROD_0005,Green Board Game,Toys & Games,SustainableStyle,"Green Board Game from SustainableStyle. Category: Toys & Games. Features: Carbon Neutral, Recycled.","Carbon Neutral, Recycled",24.21,7.17,4.1,73
PROD_0006,Organic Coffee,Food & Beverages,GreenLife,"Organic Coffee from GreenLife. Category: Food & Beverages. Features: Non-Toxic, Energy Efficient.","Non-Toxic, Energy Efficient",35.08,9.79,3.7,12
PROD_0007,Non-Toxic Guide,Books,NatureFirst,"Non-Toxic Guide from NatureFirst. Category: Books. Features: Non-Toxic, Locally Sourced, Biodegradable. Additional benefits: Sustainable, Renewable Materials.","Non-Toxic, Locally Sourced, Biodegradable, Sustainable, Renewable Materials",40.46,10.7,4.2,77
PROD_0008,Eco Refrigerator,Home & Garden,SustainableStyle,"Eco Refrigerator from SustainableStyle. Category: Home & Garden. Features: Biodegradable, Minimal Packaging, Carbon Neutral.","Biodegradable, Minimal Packaging, Carbon Neutral",32.85,53.42,4.3,87
PROD_0009,Sustainable Backpack,Sports & Outdoors,EcoBrand,"Sustainable Backpack from EcoBrand. Category: Sports & Outdoors. Features: Organic, Locally Sourced, Carbon Neutral.","Organic, Locally Sourced, Carbon Neutral",31.28,36.19,4.4,72
PROD_0010,Fair Trade Water Bottle Gear,Sports & Outdoors,EarthFriendly,"Fair Trade Water Bottle Gear from EarthFriendly. Category: Sports & Outdoors. Features: Carbon Neutral, Non-Toxic, Minimal Packaging. Additional benefits: Biodegradable, Fair Trade.","Carbon Neutral, Non-Toxic, Minimal Packaging, Biodegradable, Fair Trade",47.0,70.67,3.6,68
